travelCode,User_ID,Departure,Arrival,Check-in,Hotel,Stars,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Price per Night,Amenities,Days of Stay,Total Cost,Check-Out,Hotel_ID,Images
74443,722,Gangtok,Dabolim,11-02-2021,Hotel Supreme,3,Suite,7362,2,2,2,14724,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",2,29448,13-02-2021,DABO7,https://tse1.mm.bing.net/th?q=Hotel+Supreme+Dabolim
74453,723,Kolkata,Mysuru,28-11-2019,Radisson Blu Plaza Hotel Mysore,5,Executive,10730,3,3,3,32190,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",4,128760,02-12-2019,MYS1,https://tse1.mm.bing.net/th?q=Radisson+Blu+Plaza+Hotel+Mysore+Mysuru
74455,723,Itanagar,Imphal,12-12-2019,Sangai Continental (The Boutique Hotel),3,Suite,4700,3,2,3,14100,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",5,70500,17-12-2019,IMPH2,https://tse1.mm.bing.net/th?q=Sangai+Continental+The+Boutique+Hotel+Imphal
74458,723,Gangtok,Patna,02-01-2020,Hotel Maurya,5,Deluxe,11526,4,3,4,46104,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler']",7,322728,09-01-2020,PATN1,https://tse1.mm.bing.net/th?q=Hotel+Maurya+Patna
74459,723,Shillong,Mysuru,09-01-2020,Hotel Roopa,3,Suite,5704,2,1,2,11408,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",1,11408,10-01-2020,MYS8,https://tse1.mm.bing.net/th?q=Hotel+Roopa+Mysuru
74461,723,Visakhapatnam,Surat,23-01-2020,Courtyard by Marriott Surat,5,Suite,14496,2,3,2,28992,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",6,173952,29-01-2020,SURA2,https://tse1.mm.bing.net/th?q=Courtyard+by+Marriott+Surat+Surat
74463,723,Raipur,Udaipur,06-02-2020,Uddhav Vilas A Family Hotel,3,Deluxe,4719,4,0,2,9438,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",5,47190,11-02-2020,UDAI3,https://tse1.mm.bing.net/th?q=Uddhav+Vilas+A+Family+Hotel+Udaipur
74465,723,Bhopal,Prayagraj,20-02-2020,Hotel Prayag Inn,3,Executive,5691,2,2,2,11382,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,22764,22-02-2020,PRAY7,https://tse1.mm.bing.net/th?q=Hotel+Prayag+Inn+Prayagraj
74467,723,Dhubri,Diu,05-03-2020,Azzaro Resort & Spa,4,Suite,9700,1,2,1,9700,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",5,48500,10-03-2020,DIU2,https://tse1.mm.bing.net/th?q=Azzaro+Resort+&+Spa+Diu
74469,723,Patna,Vijayawada,19-03-2020,K N Gupta Residency,2,Suite,3447,3,2,3,10341,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",3,31023,22-03-2020,VIJA6,https://tse1.mm.bing.net/th?q=K+N+Gupta+Residency+Vijayawada
74479,723,Hisar,Varanasi,28-05-2020,The Amayaa,4,Suite,8574,3,1,2,17148,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,102888,03-06-2020,VARA9,https://tse1.mm.bing.net/th?q=The+Amayaa+Varanasi
74481,723,Tirupati,Mysuru,11-06-2020,Southern Star Mysore,4,Executive,6925,2,2,2,13850,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,27700,13-06-2020,MYS4,https://tse1.mm.bing.net/th?q=Southern+Star+Mysore+Mysuru
74483,723,Bhopal,Raigarh,25-06-2020,Hotel City Inn,1,Executive,1838,2,1,2,3676,"['Wi-Fi', 'Parking', 'Housekeeping']",4,14704,29-06-2020,RAIG9,https://tse1.mm.bing.net/th?q=Hotel+City+Inn+Raigarh
74484,723,Puri,Bilaspur,02-07-2020,Hotel Anand,2,Suite,3483,2,1,2,6966,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",6,41796,08-07-2020,BILA9,https://tse1.mm.bing.net/th?q=Hotel+Anand+Bilaspur
74485,723,Navi Mumbai,Varanasi,09-07-2020,Ramada Plaza JHV Varanasi,5,Suite,12240,4,3,4,48960,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",7,342720,16-07-2020,VARA3,https://tse1.mm.bing.net/th?q=Ramada+Plaza+JHV+Varanasi+Varanasi
74488,723,Udaipur,Shillong,30-07-2020,Hotel Polo Towers Shillong,4,Deluxe,6575,1,0,1,6575,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",7,46025,06-08-2020,SHIL2,https://tse1.mm.bing.net/th?q=Hotel+Polo+Towers+Shillong+Shillong
74489,723,Coimbatore,Itanagar,06-09-2020,Hotel Blue Pine,2,Executive,3112,2,3,2,6224,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",1,6224,07-09-2020,ITAN8,https://tse1.mm.bing.net/th?q=Hotel+Blue+Pine+Itanagar
74490,723,Kullu-Manali,Hisar,13-08-2020,Hotel Midtown Grand,2,Executive,2960,1,1,1,2960,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,17760,19-08-2020,HISA7,https://tse1.mm.bing.net/th?q=Hotel+Midtown+Grand+Hisar
74492,723,Dhubri,Itanagar,27-08-2020,Hotel Yumi Ragi,3,Executive,4980,2,3,2,9960,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",3,29880,30-08-2020,ITAN5,https://tse1.mm.bing.net/th?q=Hotel+Yumi+Ragi+Itanagar
74493,723,Kullu-Manali,Ahmedabad,03-09-2020,Lemon Tree Premier,4,Executive,7657,1,1,1,7657,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,15314,05-09-2020,AHME9,https://tse1.mm.bing.net/th?q=Lemon+Tree+Premier+Ahmedabad  
74496,723,Udaipur,Guwahati,24-09-2020,Greenwood Resort,4,Suite,8628,1,1,1,8628,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",5,43140,29-09-2020,GUWA5,https://tse1.mm.bing.net/th?q=Greenwood+Resort+Guwahati
74497,723,Shillong,Bhopal,01-10-2020,Hotel Arch Manor Deluxe,3,Suite,4636,4,1,3,13908,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",4,55632,05-10-2020,BHOP7,https://tse1.mm.bing.net/th?q=Hotel+Arch+Manor+Deluxe+Bhopal
74499,723,Amritsar,Bengaluru,15-10-2020,Hotel Presidency,3,Executive,6003,3,0,2,12006,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",1,12006,16-10-2020,BENG8,https://tse1.mm.bing.net/th?q=Hotel+Presidency+Bengaluru  
74500,723,Mumbai,Hisar,22-10-2020,Hotel Deep,2,Executive,3172,4,2,3,9516,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,38064,26-10-2020,HISA4,https://tse1.mm.bing.net/th?q=Hotel+Deep+Hisar
74503,723,Chandigarh,Bhopal,12-11-2020,Hotel Amer Palace,3,Suite,6603,3,3,3,19809,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",6,118854,18-11-2020,BHOP6,https://tse1.mm.bing.net/th?q=Hotel+Amer+Palace+Bhopal  
74509,723,Pune,Ayodhya,24-12-2020,Hotel Saryu Palace,3,Executive,3975,2,0,1,3975,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",7,27825,31-12-2020,AYOD8,https://tse1.mm.bing.net/th?q=Hotel+Saryu+Palace+Ayodhya  
74512,723,Bhubaneswar,Udaipur,14-01-2021,The Fern Residency Udaipur,3,Suite,4978,3,3,3,14934,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",7,104538,21-01-2021,UDAI5,https://tse1.mm.bing.net/th?q=The+Fern+Residency+Udaipur+Udaipur
74518,723,Srinagar,Pune,25-02-2021,Hyatt Regency Pune,5,Suite,13245,2,2,2,26490,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",4,105960,01-03-2021,PUNE3,https://tse1.mm.bing.net/th?q=Hyatt+Regency+Pune+Pune
74519,723,Srinagar,Hisar,04-03-2021,Hotel Grace,3,Suite,7192,4,0,2,14384,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",1,14384,05-03-2021,HISA3,https://tse1.mm.bing.net/th?q=Hotel+Grace+Hisar
74528,723,Delhi NCR,Gwalior,06-05-2021,Park Inn by Radisson Gwalior,4,Executive,6952,4,2,3,20856,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",2,41712,08-05-2021,GWAL4,https://tse1.mm.bing.net/th?q=Park+Inn+by+Radisson+Gwalior
74535,724,Diu,Tirupati,03-10-2019,Ramee Guestline Hotel,4,Executive,7830,4,1,3,23490,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",3,70470,06-10-2019,TIRU4,https://tse1.mm.bing.net/th?q=Ramee+Guestline+Hotel+Tirupati
74537,724,Kullu-Manali,Bhopal,17-10-2019,Noor-Us-Sabah Palace,4,Deluxe,7185,2,0,1,7185,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,7185,18-10-2019,BHOP3,https://tse1.mm.bing.net/th?q=Noor-Us-Sabah+Palace+Bhopal  
74540,724,Indore,Bilaspur,07-11-2019,Ananda Imperial,4,Executive,8278,1,0,1,8278,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",7,57946,14-11-2019,BILA3,https://tse1.mm.bing.net/th?q=Ananda+Imperial+Bilaspur
74544,724,Ayodhya,Guwahati,05-12-2019,Novotel Guwahati GS Road,5,Suite,12480,4,2,3,37440,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,262080,12-12-2019,GUWA3,https://tse1.mm.bing.net/th?q=Novotel+Guwahati+GS+Road
74557,724,Bengaluru,Nashik,05-03-2020,Hotel Royale Heritage,3,Executive,5964,3,1,2,11928,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,47712,09-03-2020,NASH9,https://tse1.mm.bing.net/th?q=Hotel+Royale+Heritage+Nashik
74562,724,Kota,Ahmedabad,09-04-2020,Hyatt Regency Ahmedabad,5,Deluxe,11918,1,2,1,11918,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",3,35754,12-04-2020,AHME1,https://tse1.mm.bing.net/th?q=Hyatt+Regency+Ahmedabad  
74566,724,Jamshedpur,Mopa,07-05-2020,Hotel Hill Rock,3,Suite,4856,1,1,1,4856,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",7,33992,14-05-2020,MOPA2,https://tse1.mm.bing.net/th?q=Hotel+Hill+Rock+Mopa
74571,724,Indore,Dhubri,11-06-2020,Galaxy Hotel,2,Suite,3342,4,0,2,6684,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,26736,15-06-2020,DHUB5,https://tse1.mm.bing.net/th?q=Galaxy+Hotel+Dhubri
74573,724,Jamshedpur,Guwahati,25-06-2020,Greenwood Resort,4,Suite,8628,1,1,1,8628,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge', 'Business Center']",6,51768,01-07-2020,GUWA5,https://tse1.mm.bing.net/th?q=Greenwood+Resort+Guwahati
74574,724,Kota,Visakhapatnam,02-07-2020,Best Western Plus Tejvivaan,4,Deluxe,6895,2,1,2,13790,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",6,82740,08-07-2020,VISA3,https://tse1.mm.bing.net/th?q=Best+Western+Plus+Tejvivaan+Visakhapatnam
74578,724,Dhubri,Srinagar,30-07-2020,Hotel Samar,3,Suite,7374,1,2,1,7374,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",6,44244,05-08-2020,SRIN6,https://tse1.mm.bing.net/th?q=Hotel+Samar+Srinagar
74590,724,Chandigarh,Srinagar,22-10-2020,Hotel New Prince Inn,3,Executive,5938,2,1,2,11876,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,83132,29-10-2020,SRIN9,https://tse1.mm.bing.net/th?q=Hotel+New+Prince+Inn+Srinagar
74592,724,Coimbatore,Chennai,05-11-2020,Radisson Blu Hotel Chennai City Centre,4,Deluxe,7583,4,0,2,15166,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",4,60664,09-11-2020,CHEN10,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+Chennai+City+Centre
74600,724,Chennai,Itanagar,31-12-2020,Hotel SC Continental,3,Executive,5920,4,1,3,17760,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",4,71040,04-01-2021,ITAN3,https://tse1.mm.bing.net/th?q=Hotel+SC+Continental+Itanagar
74601,724,Prayagraj,Vijayawada,07-01-2021,Innotel Hotel,3,Suite,4977,3,2,3,14931,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,89586,13-01-2021,VIJA3,https://tse1.mm.bing.net/th?q=Innotel+Hotel+Vijayawada
74602,724,Tirupati,Jamshedpur,14-01-2021,Hotel Ganga Regency,3,Deluxe,4388,2,1,2,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",6,52656,20-01-2021,JAMS3,https://tse1.mm.bing.net/th?q=Hotel+Ganga+Regency+Jamshedpur
74605,724,Ayodhya,Hyderabad,04-02-2021,Novotel Hyderabad Airport,5,Executive,13945,2,1,2,27890,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",5,139450,09-02-2021,HYDE6,https://tse1.mm.bing.net/th?q=Novotel+Hyderabad+Airport
74607,724,Mopa,Varanasi,18-02-2021,Rivatas by Ideal,4,Executive,7056,2,2,2,14112,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,42336,21-02-2021,VARA7,https://tse1.mm.bing.net/th?q=Rivatas+by+Ideal+Varanasi
74613,724,Chennai,Thiruvananthapuram,01-04-2021,The Leela Kovalam,5,Executive,12572,2,3,2,25144,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,100576,05-04-2021,THIR1,https://tse1.mm.bing.net/th?q=The+Leela+Kovalam+Thiruvananthapuram
74615,724,Raipur,Imphal,15-04-2021,Shirui Lily Hotel,2,Suite,4335,1,1,1,4335,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",5,21675,20-04-2021,IMPH7,https://tse1.mm.bing.net/th?q=Shirui+Lily+Hotel+Imphal
74616,724,Visakhapatnam,Coimbatore,22-04-2021,Fairfield by Marriott Coimbatore,4,Executive,8311,1,0,1,8311,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,41555,27-04-2021,COIM3,https://tse1.mm.bing.net/th?q=Fairfield+by+Marriott+Coimbatore
74619,724,Pune,Vadodara,13-05-2021,Hotel Express Towers,3,Suite,5542,3,1,2,11084,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,55420,18-05-2021,VADO10,https://tse1.mm.bing.net/th?q=Hotel+Express+Towers+Vadodara
74623,724,Dehradun,Gwalior,10-06-2021,Radisson Hotel Gwalior,5,Executive,11250,2,0,1,11250,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler']",1,11250,11-06-2021,GWAL6,https://tse1.mm.bing.net/th?q=Radisson+Hotel+Gwalior
74625,724,Diu,Chandigarh,24-06-2021,The Lalit Chandigarh,5,Suite,16008,1,1,1,16008,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",1,16008,25-06-2021,CHAN4,https://tse1.mm.bing.net/th?q=The+Lalit+Chandigarh
74628,724,Patna,Mumbai,15-07-2021,Sofitel Mumbai BKC,5,Suite,14292,3,3,3,42876,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",1,42876,16-07-2021,MUMB6,https://tse1.mm.bing.net/th?q=Sofitel+Mumbai+BKC+Mumbai
74629,724,Navi Mumbai,Jaipur,22-07-2021,The Lalit Jaipur,5,Executive,13179,2,0,1,13179,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",3,39537,25-07-2021,JAIP1,https://tse1.mm.bing.net/th?q=The+Lalit+Jaipur+Jaipur
74631,724,Kolkata,Tirupati,05-09-2021,Kences Hotel,3,Deluxe,3419,2,1,2,6838,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,27352,09-09-2021,TIRU7,https://tse1.mm.bing.net/th?q=Kences+Hotel+Tirupati
74632,724,Shimla,Amritsar,12-08-2021,Radisson Blu Hotel Amritsar,5,Suite,12585,3,0,2,25170,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",3,75510,15-08-2021,AMRI4,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+Amritsar  
74639,724,Bilaspur,Gwalior,30-09-2021,Hotel Gwalior Regency,3,Executive,4303,2,0,1,4303,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,8606,02-10-2021,GWAL8,https://tse1.mm.bing.net/th?q=Hotel+Gwalior+Regency
74640,724,Navi Mumbai,Mysuru,07-10-2021,Southern Star Mysore,4,Suite,7990,1,0,1,7990,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",1,7990,08-10-2021,MYS4,https://tse1.mm.bing.net/th?q=Southern+Star+Mysore+Mysuru
74641,724,Prayagraj,Bhubaneswar,14-10-2021,Trident Bhubaneswar,5,Suite,12814,3,3,3,38442,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",3,115326,17-10-2021,BHUB2,https://tse1.mm.bing.net/th?q=Trident+Bhubaneswar
74646,725,Chennai,Diu,03-10-2019,Azzaro Resort & Spa,4,Executive,8407,4,0,2,16814,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",3,50442,06-10-2019,DIU2,https://tse1.mm.bing.net/th?q=Azzaro+Resort+&+Spa+Diu
74647,725,Udaipur,Vijayawada,10-10-2019,Fortune Murali Park,4,Executive,7186,4,1,3,21558,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,43116,12-10-2019,VIJA9,https://tse1.mm.bing.net/th?q=Fortune+Murali+Park+Vijayawada
74649,725,Indore,Mopa,24-10-2019,Mopa Airport Hotel,3,Deluxe,4256,3,1,2,8512,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,25536,27-10-2019,MOPA1,https://tse1.mm.bing.net/th?q=Mopa+Airport+Hotel+Mopa
74650,725,Dabolim,Shillong,31-10-2019,Hotel Alpine Continental,3,Executive,6101,1,2,1,6101,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,6101,01-11-2019,SHIL5,https://tse1.mm.bing.net/th?q=Hotel+Alpine+Continental+Shillong
74653,725,Raipur,Chennai,21-11-2019,Hilton Chennai,5,Deluxe,9823,4,3,4,39292,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,275044,28-11-2019,CHEN7,https://tse1.mm.bing.net/th?q=Hilton+Chennai
74661,725,Srinagar,Ayodhya,16-01-2020,Hotel Saryu Palace,3,Deluxe,3364,2,2,2,6728,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,26912,20-01-2020,AYOD8,https://tse1.mm.bing.net/th?q=Hotel+Saryu+Palace+Ayodhya  
74666,725,Visakhapatnam,Puri,20-02-2020,Hotel Sonar Bangla,3,Suite,6819,2,1,2,13638,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar']",6,81828,26-02-2020,PURI5,https://tse1.mm.bing.net/th?q=Hotel+Sonar+Bangla+Puri
74669,725,Dhubri,Raipur,12-03-2020,Hotel Shamrock Greens,4,Deluxe,6983,1,0,1,6983,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",6,41898,18-03-2020,RAIP2,https://tse1.mm.bing.net/th?q=Hotel+Shamrock+Greens+Raipur
74671,725,Surat,Puri,26-03-2020,Toshali Sands Resort,4,Executive,6895,4,3,4,27580,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",5,137900,31-03-2020,PURI4,https://tse1.mm.bing.net/th?q=Toshali+Sands+Resort+Puri
74681,725,Varanasi,Dehradun,04-06-2020,Gaharwar Home Stay,3,Suite,5838,1,0,1,5838,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",3,17514,07-06-2020,DEHR1,https://tse1.mm.bing.net/th?q=Gaharwar+Home+Stay+Dehradun
74684,725,Vijayawada,Chandigarh,25-06-2020,Hotel Rajshree,3,Deluxe,4170,2,2,2,8340,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar']",5,41700,30-06-2020,CHAN8,https://tse1.mm.bing.net/th?q=Hotel+Rajshree+Chandigarh
74686,725,Navi Mumbai,Ludhiana,09-07-2020,"Keys Select by Lemon Tree Hotels, Ludhiana",3,Suite,5937,1,1,1,5937,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,35622,15-07-2020,LUDH6,https://tse1.mm.bing.net/th?q=Keys+Select+by+Lemon+Tree+Hotels+Ludhiana
74690,725,Mopa,Puri,06-08-2020,Toshali Sands Resort,4,Executive,6895,1,2,1,6895,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",2,13790,08-08-2020,PURI4,https://tse1.mm.bing.net/th?q=Toshali+Sands+Resort+Puri
74695,725,Patna,Puri,10-09-2020,Hotel Pushpa (Berries Group of Hotels),2,Executive,2755,4,3,4,11020,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",2,22040,12-09-2020,PURI9,https://tse1.mm.bing.net/th?q=Hotel+Pushpa+Berries+Group+of+Hotels+Puri
74697,725,Khowai,Bengaluru,24-09-2020,Signature Club Resort,4,Suite,10342,4,3,4,41368,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",2,82736,26-09-2020,BENG5,https://tse1.mm.bing.net/th?q=Signature+Club+Resort+Bengaluru  
74702,725,Imphal,Ludhiana,29-10-2020,Radisson Blu Hotel MBD Ludhiana,5,Suite,12780,3,2,3,38340,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",4,153360,02-11-2020,LUDH2,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+MBD+Ludhiana+Ludhiana
74704,725,Amritsar,Vijayawada,12-12-2020,Fortune Murali Park,4,Suite,8292,4,3,4,33168,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,66336,14-12-2020,VIJA9,https://tse1.mm.bing.net/th?q=Fortune+Murali+Park+Vijayawada
74706,725,Ranchi,Mopa,26-11-2020,Hotel Green Valley,2,Executive,2679,1,1,1,2679,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",1,2679,27-11-2020,MOPA6,https://tse1.mm.bing.net/th?q=Hotel+Green+Valley+Mopa
